"レベル","単元","グループ","単語(中文)","ピンイン","訳(日本語)","例文(中文)","例文(ピンイン)","例文訳","単語音声ファイル","日本語音声ファイル","例文音声ファイル"
1,1,1,"爱","ài","～を好む・～が好きだ","我爱吃这个菜。","Wǒ ài chī zhè ge cài.","私はこの料理を食べるのが好きです。",1Qtango001.MP3,1Q1imi_wokonomu.MP3,1Qreibun001.MP3
1,17,1,"点","diăn","～時","现在十点多了。","Xiàn zài  shí diǎn duō le.","今10時過ぎになりました。",1Qtango017.MP3,1Q17imi_ji.MP3,1Qreibun017.MP3
1,33,1,"分","fēn","～分","现在几点了？-十点十分。","Xiàn zài jǐ diǎn le? － Shí diǎn shí fēn.","今何時ですか？－10時10分。",1Qtango033.MP3,1Q33imi_hun.MP3,1Qreibun033.MP3
1,49,1,"几","jĭ","いくつ・不定の数を示す","你去北京学习几天？","Nǐ qù Běi jīng xué xí jǐ tiān?","あなたは北京に行って何日間勉強しますか？",1Qtango049.MP3,1Q49imi_ikutu.MP3,1Qreibun049.MP3
1,65,1,"妈妈","mā ma","お母さん","他妈妈是医生。","Tā mā ma shì yī shēng.","彼のお母さんは医者です。",1Qtango065.MP3,1Q65imi_okasan.MP3,1Qreibun065.MP3
1,81,1,"朋友","péng you","友達","他是我的朋友。","Tā shì wǒ de péng you.","彼はわたしの友達です。",1Qtango081.MP3,1Q81imi_tomodati.MP3,1Qreibun081.MP3
1,97,1,"少","shǎo","少ない・不足する","儿子说中午不回家吃饭了。‐那我们少做几个菜。","Ér zi shuō zhōng wǔ bù huí jiā chī fàn le. ‐ Nà wǒ men shǎo zuò jǐ  ge cài.","息子はお昼ごはんを食べに帰ってこないと言っています。－じゃあ、私たちはいくつかの料理は作らないでおきましょう。",1Qtango097.MP3,1Q97imi_sukunai.MP3,1Qreibun097.MP3
1,113,1,"太","tài","とても（太～了の形をとることが多い）","太漂亮了！","Tài piào liang le!","とてもきれいですね！",1Qtango113.MP3,1Q113imi_totemo.MP3,1Qreibun113.MP3
1,129,1,"小姐","xiăo jiĕ","～さん","王小姐，是你的电话。","Wáng xiǎo jiě,shì nǐ de diàn huà.","王さん、あなたへの電話です。",1Qtango129.MP3,1Q129imi_san.MP3,1Qreibun129.MP3
1,144,1,"月","yuè","～月","十月前我回来，再见。","Shí yuè qián wǒ huí lái, zài jiàn.","10月の前に私は戻ってきます。さようなら。",1Qtango144.MP3,1Q144imi_gatu.MP3,1Qreibun144.MP3
1,2,2,"八","bā",8,"这个杯子八块钱。","Zhè ge bēi zi bā kuài qián.","このコップは8元です。",1Qtango002.MP3,1Q2imi_hati.MP3,1Qreibun002.MP3
1,18,2,"电脑","diàn năo","コンピューター","这是谁的电脑？","Zhè shì shéi de diàn nǎo?","これは誰のコンピューターですか？",1Qtango018.MP3,1Q18imi_konpyu-ta.MP3,1Qreibun018.MP3
1,34,2,"分钟","fēn zhōng","～分間","我睡十分钟。","Wǒ shuì shí fēn zhōng.","私は10分間寝ます。",1Qtango034.MP3,1Q34imi_hunkan.MP3,1Qreibun034.MP3
